policy_id,model_id,phase,aggregation,smoothing,reliability_alpha,tau_up,tau_down,k_up,k_down,cooldown_s,tp,normal_false_events,fn,wrong_window_accident_alerts,duplicate_accident_alerts,precision,recall,f1,fph,mean_signed_delay_s,threshold,persistence_window_s,required_active_observations,merge_gap_s,feasible_under_fph5,selected_calibration_policy,pareto_frontier,dominated,selection_rule,fixed_policy_validation_tp,fixed_policy_validation_normal_fp,fixed_policy_validation_fn,fixed_policy_validation_recall,fixed_policy_validation_precision,fixed_policy_validation_f1,fixed_policy_validation_fph
7ebd9e55da874c4ff659,trackfeat132,screen,mean,trailing60,0.0,0.6,0.4,2,3,2.0,18,0,29,9,0,0.6666666666666666,0.3829787234042553,0.4864864864864864,0.0,-0.7333333333333334,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
bb67a4c966f02f389f25,trackfeat132,screen,trimmed_mean,trailing60,0.0,0.6,0.4,2,3,2.0,18,0,29,9,0,0.6666666666666666,0.3829787234042553,0.4864864864864864,0.0,-0.7333333333333334,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
aff8a836a8b37b420bd5,trackfeat132,screen,top3_mean,none,0.0,0.6,0.4,2,3,2.0,31,26,16,20,0,0.4025974025974026,0.6595744680851063,0.5,15.868817773075929,-0.976774193548387,0.6,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
f55deaf859a5938c4f3c,trackfeat132,detail,mean,none,0.0,0.65,0.5,2,3,2.0,29,4,18,15,0,0.6041666666666666,0.6170212765957447,0.6105263157894737,2.44135658047322,-0.892413793103448,0.65,0.4,2,2.0,True,True,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,25.0,8.0,21.0,0.5434782608695652,0.5102040816326531,0.5263157894736842,5.031
1cb2ec71397dbfa15302,trackfeat132,detail,mean,none,0.0,0.7,0.5,2,3,2.0,29,4,18,14,1,0.6041666666666666,0.6170212765957447,0.6105263157894737,2.44135658047322,-0.7999999999999997,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e7b25710351e6124736f,trackfeat132,detail,mean,none,0.0,0.8,0.5,2,3,2.0,25,3,22,13,0,0.6097560975609756,0.5319148936170213,0.5681818181818181,1.831017435354915,-0.6336,0.8,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
3a75c3145e343e3e227d,causal14_clean,screen,mean,trailing5,0.0,0.6,0.4,2,3,2.0,24,15,23,13,0,0.4615384615384615,0.5106382978723404,0.4848484848484848,9.155087176774574,-0.4416666666666666,0.6,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
47b93e8e749327ec4375,causal14_clean,screen,mean,ema5,0.0,0.6,0.4,2,3,2.0,23,14,24,15,0,0.4423076923076923,0.4893617021276595,0.4646464646464646,8.544748031656269,-0.3060869565217391,0.6,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
b23a5a7f2d64d2b031b8,causal14_clean,screen,trimmed_mean,none,0.0,0.6,0.4,2,3,2.0,28,19,19,16,1,0.4375,0.5957446808510638,0.5045045045045045,11.596443757247794,-0.5214285714285715,0.6,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
6ca9da9c20cc6daead4e,causal14_clean,screen,trimmed_mean,trailing5,0.0,0.6,0.4,2,3,2.0,25,17,22,14,0,0.4464285714285714,0.5319148936170213,0.4854368932038835,10.375765467011185,-0.4704,0.6,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
f0f8c3fb10ed118a37ac,causal14_clean,screen,trimmed_mean,trailing60,0.0,0.6,0.4,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
