statistic_id,value,population,status,source_path,source_sha256,generation_command
sotad_validation_full_precision,0.5102040816,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_recall,0.5434782609,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_f1,0.5263157895,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_fph,5.031,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_tp,25.0,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_normal_fp_events,8.0,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_fn,21.0,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_full_wrong_window,16.0,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_132.parquet,6413bb46c8cababafd8ffd026023c9f906b48eaa1c7dac7133d688e3b6d306fa,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_reduced_precision,0.4716981132,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_52.parquet,64e20f0adedd00f0263a3140c6216325a88ccf439e127ba3ced101e5eb30aaea,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
sotad_validation_reduced_recall,0.5434782609,sealed validation,primary,outputs_sotad_phase12_old4c_motor_lowconf_t012/v13_final_prevalidation_evidence_closure/validation_frozen_cache_recovery_01/04_event_evaluation/validation_video_decisions_52.parquet,64e20f0adedd00f0263a3140c6216325a88ccf439e127ba3ced101e5eb30aaea,/home/team_cam_ai/miniconda3/envs/rtdetr_env/bin/python final_draft/trackfeat_aisi_submission_01/control/build_evidence.py
